id,duration,Rating,action,adventure,biography,comedy,crime,drama,family,fantasy,history,horror,mystery,romance,scifi,thriller,war,western,musical,animation,sport,music,noir,yearPublished,monthPublished,budget,gross,disney,warner,sony,universal,fox,paramount,summit,dimension,mgm,dreamworks,marvel,miramax,columbia,united,utv,pixomondo,dharma,productionCorpsOthers,contentRating,language,location,tfidf1,tfidf2,tfidf3,tfidf4
75,113,76,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2006,11,17,17,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,1,1,3,31,3,0
76,99,68,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2006,6,17,17,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,2,14,2,0
77,75,73,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1959,7,15,17,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,4,10,35,2,0
78,86,56,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2011,3,16,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,3,14,46,4,1
80,118,41,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2015,10,15,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,1,7,28,1,0
81,118,62,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2014,2,17,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,11,35,0,0
82,123,64,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1996,7,17,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,1,9,49,2,0
83,99,65,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2010,7,17,17,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3,9,25,1,0
84,100,54,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,2011,3,17,17,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3,18,55,4,0
85,105,43,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1984,11,17,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,2,3,34,0,0
86,90,62,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1989,4,17,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1,5,20,0,0
88,125,67,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2000,12,17,18,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,12,41,0,0
91,107,57,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2015,11,16,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1,4,21,0,0
92,103,54,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2006,5,17,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1,9,27,1,0
93,95,67,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2005,9,17,17,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,1,1,11,32,3,0
94,99,61,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2008,12,18,18,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,18,48,7,1
95,100,64,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2009,10,16,16,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,7,42,1,0
96,89,51,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1989,8,15,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,8,22,2,0
97,114,67,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1998,4,17,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1,10,31,2,1
99,128,81,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1988,5,17,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,8,8,13,49,6,0
100,101,48,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2005,6,17,18,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,1,7,48,5,1
101,86,67,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2003,7,17,17,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,1,10,5,28,1,0
103,180,82,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2013,12,18,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,3,27,0,0
