gross,duration,Rating,action,adventure,biography,comedy,crime,drama,family,fantasy,history,horror,mystery,romance,scifi,thriller,war,western,musical,animation,sport,music,noir,yearPublished,monthPublished,budget,disney,warner,sony,universal,fox,paramount,summit,dimension,mgm,dreamworks,marvel,miramax,columbia,united,utv,pixomondo,dharma,productionCorpsOthers,contentRating,language,location,tfidf1,tfidf2,tfidf3,tfidf4
18,110,81,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1969,10,15,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,8,23,2,0
15,160,75,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2007,10,17,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,6,32,2,0
18,140,70,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2009,7,18,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,18,46,1,1
16,122,69,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2007,1,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,6,50,3,0
17,123,75,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2007,1,16,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,10,56,5,0
17,141,78,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2008,10,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,7,42,2,0
16,123,73,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015,10,17,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,3,12,69,3,0
17,127,78,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1997,2,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,12,33,2,1
14,102,73,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1995,4,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,17,52,2,0
17,121,76,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1978,10,14,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,10,8,64,2,0
14,99,74,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1994,10,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,10,9,14,0,0
17,125,80,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1975,12,14,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,10,51,4,0
16,106,70,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2014,12,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,3,12,36,3,0
17,151,80,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1974,2,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,10,4,47,3,2
17,137,66,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2011,11,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,6,55,2,0
